Reserved_user,inv_id,Reserved_user_email,Reservation_status,Reservation_status_comments,inv_type,count
Aarav,1,aarav@gmail.com,Requested,waiting for aproval,BOOK,1
Anika,2,anika@gmail.com,Requested,waiting for aproval,BOOK,2
Arjun,3,arjun@gmail.com,Requested,waiting for aproval,BOOK,3
Bhavya,4,bhavya@gmail.com,Requested,waiting for aproval,BOOK,1
Chaya,5,chaya@gmail.com,Requested,waiting for aproval,BOOK,2
Daksh,6,daksh@gmail.com,Requested,waiting for aproval,BOOK,3
Esha,7,Esha@gmail.com,Requested,waiting for aproval,BOOK,1
Farhan,8,Farhan@gmail.com,Requested,waiting for aproval,BOOK,1
Gauri,9,Gauri@gmail.com,Requested,waiting for aproval,BOOK,1
Harsh,10,Harsh@gmal.com,Requested,waiting for aproval,BOOK,1
Ishaan,22,Ishaan@gmal.com,Requested,waiting for aproval,BOOK,1
Jaya,23,Jaya@gmail.com,Requested,waiting for aproval,BOOK,2
Kabir,24,Kabir@gmail.com,Requested,waiting for aproval,BOOK,2
Lavanya,25,Lavanya@gmail.com,Requested,waiting for aproval,BOOK,2
Mohit,100,Mohit@gmail.com,Requested,waiting for aproval,E-BOOK,2
Nisha,27,Nisha@gmail.com,Requested,waiting for aproval,BOOK,2
Omkar,28,Omkar@gmail.com,Requested,waiting for aproval,BOOK,2
Pooja,29,Pooja@gmail.com,Requested,waiting for aproval,BOOK,3
Qamar,30,Qamar@gmail.com,Requested,waiting for aproval,BOOK,3
Rishi,31,Rishi@gmail.com,Requested,waiting for aproval,BOOK,3
Saanvi,32,Saanvi@gmail.com,Requested,waiting for aproval,BOOK,3
Tanvi,33,Tanvi@gmail.com,Requested,waiting for aproval,BOOK,3
Utkarsh,44,Utkarsh@gmail.com,Requested,waiting for aproval,BOOK,3
Vaishnavi,44,Vaishnavi@gmail.com,Requested,waiting for aproval,BOOK,2
Yash,45,Yash@gmail.com,Requested,waiting for aproval,BOOK,2
Zara,46,Zara@gmail.com,Requested,waiting for aproval,BOOK,2
Dev,47,Dev@gmail.com,Requested,waiting for aproval,BOOK,2
Kavya,48,Kavya@gmail.com,Requested,waiting for aproval,BOOK,2
Nikhil,49,Nikhil@gmail.com,Requested,waiting for aproval,BOOK,2
Riya,50,Riya@gmail.com,Requested,waiting for aproval,BOOK,1
Aryan,51,Aryan@gmail.com,Requested,waiting for aproval,BOOK,1
Mira,52,Mira@gmail.com,Requested,waiting for aproval,BOOK,1
Ved,53,Ved@gmail.com,Requested,waiting for aproval,BOOK,1
Myra,54,Myra@gmail.com,Requested,waiting for aproval,BOOK,1
Alok,55,Alok@gmail.com,Requested,waiting for aproval,BOOK,1
Niharika,56,Niharika@gmail.com,Requested,waiting for aproval,BOOK,2
Devansh,57,Devansh@gmail.com,Requested,waiting for aproval,BOOK,1
Prisha,67,Prisha@gmail.com,Requested,waiting for aproval,BOOK,3
Hrithik,68,Hrithik@gmail.com,Requested,waiting for aproval,BOOK,2
Aanya,69,Aanya@gmail.com,Requested,waiting for aproval,BOOK,2
Arnav,70,Arnav@gmail.com,Requested,waiting for aproval,BOOK,2
Ananya,71,Ananya@gmail.com,Requested,waiting for aproval,BOOK,2
Aditya,81,Aditya@gmail.com,Requested,waiting for aproval,VIDEO,3
Ishika,82,Ishika@gmail.com,Requested,waiting for aproval,VIDEO,3
Karan,83,Karan@gmail.com,Requested,waiting for aproval,VIDEO,3
Navya,84,Navya@gmail.com,Requested,waiting for aproval,VIDEO,3
Rohan,85,Rohan@gmail.com,Requested,waiting for aproval,VIDEO,1
Tanisha,86,Tanisha@gmail.com,Requested,waiting for aproval,VIDEO,1
Vihaan,87,Vihaan@gmail.com,Requested,waiting for aproval,VIDEO,1
Soujanya,91,soujanyaacharya.r@terralogic.com,Requested,waiting for aproval,E-BOOK,1
